"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"2021 Silver Springs Blvd, Ocala, FL 34471","Ocala Center 6","Ralph Breaks the Internet","PG","4.5","1:00p | 4:00p | 7:00p","Standard","Ralph and Vanellope embark on an adventure inside the internet to find a spare part to fix a video game.","2018-11-29","Ocala, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","Bohemian Rhapsody","PG-13","5","12:15p | 3:20p | 6:20p | 9:30p","Standard","Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Surrounded by darker influences, Mercury decides to leave Queen years later to pursue a solo career. Diagnosed with AIDS in the 1980s, the flamboyant frontman reunites with the group for the benefit concert Live Aid -- leading the band in one of the greatest performances in rock history.","2018-11-29","Gainesville, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","Dr. Seuss' The Grinch (2018)","PG","4.5","12:05p | 2:10p | 4:25p | 6:50p | 9:10p","Standard","Academy Award® nominee Benedict Cumberbatch lends his voice to the infamous Grinch, who lives a solitary life inside a cave on Mt. Crumpet with only his loyal dog, Max, for company. With a cave rigged with inventions and contraptions for his day-to-day needs, the Grinch only sees his neighbors in Who-ville when he runs out of food. Each year at Christmas they disrupt his tranquil solitude with their increasingly bigger, brighter and louder celebrations. When the Whos declare they are going to make Christmas three times bigger this year, the Grinch realizes there is only one way for him to gain some peace and quiet: he must steal Christmas. To do so, he decides he will pose as Santa Claus on Christmas Eve, even going so far as to trap a lackadaisical misfit reindeer to pull his sleigh.","2018-11-29","High Springs, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Bohemian Rhapsody","PG-13","5","12:25p | 3:55p | 10:35p","Standard","Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Surrounded by darker influences, Mercury decides to leave Queen years later to pursue a solo career. Diagnosed with AIDS in the 1980s, the flamboyant frontman reunites with the group for the benefit concert Live Aid -- leading the band in one of the greatest performances in rock history.","2018-11-29","Belleview, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","Venom (2018)","PG-13","4.5","1:00p | 4:00p | 9:40p","Standard","Reporter Eddie Brock develops superpowers after becoming a host to an alien parasite.","2018-11-29","The Villages, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","2.0","","5","12:00p","Standard","","2018-11-29","Gainesville, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Celebration Pointe 10","Dr. Seuss' The Grinch (2018)","PG","4.5","1:15p | 4:30p | 7:10p | 9:30p","Standard","Academy Award® nominee Benedict Cumberbatch lends his voice to the infamous Grinch, who lives a solitary life inside a cave on Mt. Crumpet with only his loyal dog, Max, for company. With a cave rigged with inventions and contraptions for his day-to-day needs, the Grinch only sees his neighbors in Who-ville when he runs out of food. Each year at Christmas they disrupt his tranquil solitude with their increasingly bigger, brighter and louder celebrations. When the Whos declare they are going to make Christmas three times bigger this year, the Grinch realizes there is only one way for him to gain some peace and quiet: he must steal Christmas. To do so, he decides he will pose as Santa Claus on Christmas Eve, even going so far as to trap a lackadaisical misfit reindeer to pull his sleigh.","2018-11-29","High Springs, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Celebration Pointe 10","Fantastic Beasts: The Crimes of Grindelwald","PG-13","4.5","12:00p | 3:15p | 7:00p | 1:00p | 4:15p | 7:30p","Standard","In an effort to thwart Grindelwald's plans of raising pure-blood wizards to rule over all non-magical beings, Albus Dumbledore enlists his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided world.","2018-11-29","Gainesville, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Dr. Seuss' The Grinch (2018)","PG","4.5","12:05p | 2:30p | 4:50p | 10:45p | 7:15p","Standard","Academy Award® nominee Benedict Cumberbatch lends his voice to the infamous Grinch, who lives a solitary life inside a cave on Mt. Crumpet with only his loyal dog, Max, for company. With a cave rigged with inventions and contraptions for his day-to-day needs, the Grinch only sees his neighbors in Who-ville when he runs out of food. Each year at Christmas they disrupt his tranquil solitude with their increasingly bigger, brighter and louder celebrations. When the Whos declare they are going to make Christmas three times bigger this year, the Grinch realizes there is only one way for him to gain some peace and quiet: he must steal Christmas. To do so, he decides he will pose as Santa Claus on Christmas Eve, even going so far as to trap a lackadaisical misfit reindeer to pull his sleigh.","2018-11-29","Gainesville, FL"
"101 W. Call St., Starke, FL 32091","Florida Twin","Ralph Breaks the Internet","PG","4.5","7:30p","Standard","Ralph and Vanellope embark on an adventure inside the internet to find a spare part to fix a video game.","2018-11-29","Starke, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Boy Erased","R","4","11:00a | 1:45p | 4:25p | 10:45p","Standard","“Boy Erased” tells the story of Jared (Hedges), the son of a Baptist pastor in a small American town, who is outed to his parents (Kidman and Crowe) at age 19. Jared is faced with an ultimatum: attend a conversion therapy program – or be permanently exiled and shunned by his family, friends, and faith. Boy Erased is the true story of one young man’s struggle to find himself while being forced to question every aspect of his identity.","2018-11-29","Belleview, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","A Private War","R","4","9:45a | 12:45p | 3:30p | 6:15p | 8:45p","Standard","In a world where journalism is under attack, Marie Colvin (Academy Award nominee Rosamund Pike) is one of the most celebrated war correspondents of our time. Colvin is an utterly fearless and rebellious spirit, driven to the frontlines of conflicts across the globe to give voice to the voiceless, while constantly testing the limits between bravery and bravado. After being hit by a grenade in Sri Lanka, she wears a distinctive eye patch and is still as comfortable sipping martinis with London’s elite as she is confronting dictators. Colvin sacrifices loving relationships, and over time, her personal life starts to unravel as the trauma she’s witnessed takes its toll. Yet, her mission to show the true cost of war leads her -- along with renowned war photographer Paul Conroy (Jamie Dornan) -- to embark on the most dangerous assignment of their lives in the besieged Syrian city of Homs.","2018-11-29","The Villages, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","The Nutcracker and the Four Realms","PG","4","12:15p | 2:45p | 7:45p | 10:15p","Standard","Young Clara needs a magical, one-of-a-kind key to unlock a box that contains a priceless gift. A golden thread leads her to the coveted key, but it soon disappears into a strange and mysterious parallel world. In that world, she meets a soldier named Phillip, a group of mice and the regents who preside over three realms. Clara and Phillip must now enter a fourth realm to retrieve the key and restore harmony to the unstable land.","2018-11-29","High Springs, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Fantastic Beasts: The Crimes of Grindelwald","PG-13","4.5","3:35p | 10:15p","Digital 3D","In an effort to thwart Grindelwald's plans of raising pure-blood wizards to rule over all non-magical beings, Albus Dumbledore enlists his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided world.","2018-11-29","Gainesville, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","The Front Runner","R","3","9:40a | 1:30p | 4:45p | 10:25p","Standard","Oscar® nominee Hugh Jackman stars as the charismatic politician Gary Hart for Academy Award®-nominated director Jason Reitman in the new thrilling drama The Front Runner. The film follows the rise and fall of Senator Hart, who captured the imagination of young voters and was considered the overwhelming front runner for the 1988 Democratic presidential nomination when his campaign was sidelined by the story of an extramarital relationship with Donna Rice. As tabloid journalism and political journalism merged for the first time, Senator Hart was forced to drop out of the race – events that left a profound and lasting impact on American politics and the world stage.","2018-11-29","The Villages, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","The Nutcracker and the Four Realms","PG","4","1:40p | 4:25p | 6:55p | 9:30p","Standard","Young Clara needs a magical, one-of-a-kind key to unlock a box that contains a priceless gift. A golden thread leads her to the coveted key, but it soon disappears into a strange and mysterious parallel world. In that world, she meets a soldier named Phillip, a group of mice and the regents who preside over three realms. Clara and Phillip must now enter a fourth realm to retrieve the key and restore harmony to the unstable land.","2018-11-29","Gainesville, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","Robin Hood (2018)","PG-13","4","1:40p | 4:40p | 7:30p | 10:25p","Standard","A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown in a thrilling action-adventure packed with gritty battlefield exploits, mind-blowing fight choreography, and a timeless romance.","2018-11-29","High Springs, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","The King And I: From The London Palladium","","","7:00p","Standard","The multi-award winning and critically acclaimed Lincoln Center Theater’s production of Rodgers and Hammerstein’s The King And I comes to cinemas in this unmissable event recorded live from London’s iconic Palladium. Reprising her Tony Award-winning role, ‘Broadway musical’s undisputed Queen’ (The Sunday Times) Kelli O’Hara (Anna) takes to the stage alongside Tony and Oscar nominee Ken Watanabe (The King) in a ""powerhouse"" (The Times) performance. Also returning to her Tony Award winning role as Lady Thiang is Ruthie Ann Miles. Set in 1860s Bangkok, the musical tells the story of the unconventional and tempestuous relationship that develops between the King of Siam and Anna, a British schoolteacher whom the modernist King, in an imperialistic world, brings to Siam to teach his many wives and children.","2018-11-29","Gainesville, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Creed II","PG-13","4.5","9:35a | 12:30p | 3:25p | 6:15p | 9:15p","Standard","Life has become a balancing act for Adonis Creed. Between personal obligations and training for his next big fight, he is up against the challenge of his life. Facing an opponent with ties to his family's past only intensifies his impending battle in the ring. Rocky Balboa is there by his side through it all and, together, Rocky and Adonis will confront their shared legacy, question what's worth fighting for, and discover that nothing's more important than family. Creed II is about going back to basics to rediscover what made you a champion in the first place, and remembering that, no matter where you go, you can't escape your history.","2018-11-29","The Villages, FL"
"10845 SE US Highway 441, Belleview, FL 34420","Belleview Cinemas","Ralph Breaks the Internet","PG","4.5","1:00p | 4:00p | 7:00p","Standard","Ralph and Vanellope embark on an adventure inside the internet to find a spare part to fix a video game.","2018-11-29","The Villages, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Fantastic Beasts: The Crimes of Grindelwald","PG-13","4.5","3:35p | 10:15p","Digital 3D","In an effort to thwart Grindelwald's plans of raising pure-blood wizards to rule over all non-magical beings, Albus Dumbledore enlists his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided world.","2018-11-29","High Springs, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Bohemian Rhapsody","PG-13","5","12:25p | 3:30p | 10:05p","Standard","Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Surrounded by darker influences, Mercury decides to leave Queen years later to pursue a solo career. Diagnosed with AIDS in the 1980s, the flamboyant frontman reunites with the group for the benefit concert Live Aid -- leading the band in one of the greatest performances in rock history.","2018-11-29","Gainesville, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Dr. Seuss' The Grinch (2018)","PG","4.5","12:05p | 2:30p | 4:50p | 10:45p | 7:15p","Standard","Academy Award® nominee Benedict Cumberbatch lends his voice to the infamous Grinch, who lives a solitary life inside a cave on Mt. Crumpet with only his loyal dog, Max, for company. With a cave rigged with inventions and contraptions for his day-to-day needs, the Grinch only sees his neighbors in Who-ville when he runs out of food. Each year at Christmas they disrupt his tranquil solitude with their increasingly bigger, brighter and louder celebrations. When the Whos declare they are going to make Christmas three times bigger this year, the Grinch realizes there is only one way for him to gain some peace and quiet: he must steal Christmas. To do so, he decides he will pose as Santa Claus on Christmas Eve, even going so far as to trap a lackadaisical misfit reindeer to pull his sleigh.","2018-11-29","High Springs, FL"
