AMC Lake Square 12,Aladdin (2019),Standard,PG,6/21/19,"10:40 a.m., 2 p.m., 4 p.m., 7:15 p.m., 9:15 p.m."
,Aladdin (2019),Standard,PG,6/22/19,"10:40 a.m., 2 p.m., 4 p.m., 7:15 p.m., 9:15 p.m."
,Aladdin (2019),Standard,PG,6/23/19,"10:40 a.m., 2 p.m., 4 p.m., 7:15 p.m., 9:15 p.m."
,Anna (2019),Standard,R,6/21/19,"10:45 a.m., 1:35 p.m., 4:25 p.m., 7:15 p.m., 10:05 p.m."
,Anna (2019),Standard,R,6/22/19,"10:45 a.m., 1:35 p.m., 4:25 p.m., 7:15 p.m., 10:05 p.m."
,Anna (2019),Standard,R,6/23/19,"10:45 a.m., 1:35 p.m., 4:25 p.m., 7:15 p.m., 10:05 p.m."
,Child's Play (2019),Standard,R,6/21/19,"11:30 a.m., 1:50 p.m., 4:10 p.m., 7:45 p.m., 8:45 p.m., 9:30 p.m., 10:15 p.m."
,Child's Play (2019),Standard,R,6/22/19,"11:30 a.m., 1:50 p.m., 4:10 p.m., 7:45 p.m., 8:45 p.m., 9:30 p.m., 10:15 p.m."
,Child's Play (2019),Standard,R,6/23/19,"11:30 a.m., 1:50 p.m., 4:10 p.m., 7:45 p.m., 8:45 p.m., 9:30 p.m., 10:15 p.m."
,Dark Phoenix,Standard,PG-13,6/21/19,"10:05 a.m., 12:50 p.m., 3:35 p.m., 6:20 p.m., 9:05 p.m."
,Dark Phoenix,Standard,PG-13,6/22/19,"10:05 a.m., 12:50 p.m., 3:35 p.m., 6:20 p.m., 9:05 p.m."
,Dark Phoenix,Standard,PG-13,6/23/19,"10:05 a.m., 12:50 p.m., 3:35 p.m., 6:20 p.m., 9:05 p.m."
,Late Night (2019),Standard,R,6/21/19,3:40 p.m.
,Late Night (2019),Standard,R,6/22/19,3:40 p.m.
,Late Night (2019),Standard,R,6/23/19,3:40 p.m.
,Men in Black: International,Standard,PG-13,6/21/19,"11:10 a.m., 2 p.m., 4:45 p.m., 6:30 p.m., 7:30 p.m., 10:15 p.m."
,Men in Black: International,Standard,PG-13,6/22/19,"11:10 a.m., 2 p.m., 4:45 p.m., 6:30 p.m., 7:30 p.m., 10:15 p.m."
,Men in Black: International,Standard,PG-13,6/23/19,"11:10 a.m., 2 p.m., 4:45 p.m., 6:30 p.m., 7:30 p.m., 10:15 p.m."
,Rocketman,Standard,R,6/21/19,12:35 p.m.
,Rocketman,Standard,R,6/22/19,12:35 p.m.
,Rocketman,Standard,R,6/23/19,12:35 p.m.
,Shaft (2019),Standard,R,6/21/19,"11 a.m., 1:40 p.m., 4:20 p.m., 7:05 p.m., 9:45 p.m."
,Shaft (2019),Standard,R,6/22/19,"11 a.m., 1:40 p.m., 4:20 p.m., 7:05 p.m., 9:45 p.m."
,Shaft (2019),Standard,R,6/23/19,"11 a.m., 1:40 p.m., 4:20 p.m., 7:05 p.m., 9:45 p.m."
,The Secret Life of Pets 2,Standard,PG,6/21/19,"10:15 a.m., 11:45 a.m., 1:45 p.m., 5 p.m., 7 p.m., 10:15 p.m."
,The Secret Life of Pets 2,Standard,PG,6/22/19,"11:45 a.m., 1:45 p.m., 5 p.m., 7 p.m., 10:15 p.m., 10a"
,The Secret Life of Pets 2,Standard,PG,6/23/19,"10:15 a.m., 11:45 a.m., 1:45 p.m., 5 p.m., 7 p.m., 10:15 p.m."
,Toy Story 4,Digital 3D,G,6/21/19,"11:15 a.m., 1:15 p.m., 2 p.m., 4 p.m., 4:45 p.m., 7:30 p.m., 10:15 p.m."
,Toy Story 4,Digital 3D,G,6/22/19,"11:15 a.m., 1:15 p.m., 2 p.m., 4 p.m., 4:45 p.m., 7:30 p.m., 10:15 p.m."
,Toy Story 4,Digital 3D,G,6/23/19,"11:15 a.m., 1:15 p.m., 2 p.m., 4 p.m., 4:45 p.m., 7:30 p.m., 10:15 p.m."
,Toy Story 4,Standard,G,6/21/19,"9:30 a.m., 10 a.m., 10:30 a.m., 12 p.m., 12:30 p.m., 2:45 p.m., 3:15 p.m., 5:15 p.m., 6 p.m., 6:15 p.m., 6:45 p.m., 8:45 p.m., 9:30 p.m."
,Toy Story 4,Standard,G,6/22/19,"9:30 a.m., 10 a.m., 10:30 a.m., 12 p.m., 12:30 p.m., 2:45 p.m., 3:15 p.m., 5:15 p.m., 6 p.m., 6:15 p.m., 6:45 p.m., 8:45 p.m., 9:30 p.m."
,Toy Story 4,Standard,G,6/23/19,"9:30 a.m., 10 a.m., 10:30 a.m., 12 p.m., 12:30 p.m., 2:45 p.m., 3:15 p.m., 5:15 p.m., 6 p.m., 6:15 p.m., 6:45 p.m., 8:45 p.m., 9:30 p.m."
Barnstorm Theater,Child's Play (2019),Standard,R,6/21/19,"11:15 a.m., 2:45 p.m., 5 p.m., 9:25 p.m."
,Child's Play (2019),Standard,R,6/22/19,"12:35 a.m., 11:15 a.m., 2:45 p.m., 5 p.m., 9:25 p.m."
,Child's Play (2019),Standard,R,6/23/19,"12:35 a.m., 11:15 a.m., 2:45 p.m., 5 p.m., 9:25 p.m."
,Dark Phoenix,Standard,PG-13,6/21/19,"11 a.m., 4:15 p.m., 6:50 p.m., 9:30 p.m."
,Dark Phoenix,Standard,PG-13,6/22/19,"11 a.m., 4:15 p.m., 6:50 p.m., 9:30 p.m."
