"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"4901 SW 31st Place, Gainesville, FL 32608","Celebration Pointe 10","Spider-Man: Into the Spider-Verse","PG","5","4:20p | 7:20p | 10:40p","Standard","Spider-Man mentors a teenager from Brooklyn, N.Y., to become the next web-slinging superhero.","2019-01-23","Gainesville, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","The Wife","R","4","11:00a | 5:00p","Standard","After nearly forty years of marriage, JOAN and JOE CASTLEMAN (Glenn Close and Jonathan Pryce) are complements. Where Joe is casual, Joan is elegant. Where Joe is vain, Joan is self-effacing. And where Joe enjoys his very public role as Great American Novelist, Joan pours her considerable intellect, grace, charm, and diplomacy into the private role of Great Man’s Wife. Joe is about to be awarded the Nobel Prize for his acclaimed and prolific body of work. Joe’s literary star has blazed since he and Joan first met in the late 1950. THE WIFE interweaves the story of the couple’s youthful passion and ambition with a portrait of a marriage, thirty-plus years later—a lifetime’s shared compromises, secrets, betrayals, and mutual love.","2019-01-23","Belleview, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Aquaman","PG-13","4.5","3:55p | 7:10p | 10:15p","Standard","Aquaman finds himself caught between a surface world that ravages the sea and the underwater Atlanteans who are ready to revolt.","2019-01-23","High Springs, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Cyrano de Bergerac presented by Comédie-Française","PG","3","7:00p","Standard","From award-winning director, stage and cinema actor Denis Podalydès, this classic tale of hijinx comes to cinemas nationwide from the renowned Comédie-Française stage on January 23 only. Cyrano de Bergerac, despite a deformed and enormous nose, proves to be a talented swordsman and a man of great wit. In a local pastry shop, the precious Roxane, with whom Cyrano is secretly in love, reveals to him that she loves a young nobleman named Christian. Blessed with all of life’s gifts except for romantic eloquence, Christian asks Cyrano to help him woo Roxane, secretly prompting him with romantic turns of phrase. She becomes enamored, but at the siege of Arras, Christian dies and asks Cyrano to reveal the truth to Roxane. Opera buffa, tragedy, romantic drama, symbolist poetry, slapstick comedy… all genres are called upon to give life to this staging of one of the most emblematic texts of the French repertoire!","2019-01-23","Belleview, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","Holmes & Watson","PG-13","2","1:55p | 4:40p | 7:20p | 10:00p","Standard","A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.","2019-01-23","High Springs, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","Mary Queen of Scots (2018)","R","4","8:25a | 11:10a | 1:55p | 7:30p | 10:15p","Standard","“Mary Queen of Scots” explores the turbulent life of the charismatic Mary Stuart (Ronan). Queen of France at 16 and widowed at 18, Mary defies pressure to remarry. Instead, she returns to her native Scotland to reclaim her rightful throne. But Scotland and England fall under the rule of the compelling Elizabeth I (Robbie). Each young Queen beholds her “sister” in fear and fascination. Rivals in power and in love, and female regents in a masculine world, the two must decide how to play the game of marriage versus independence. Determined to rule as much more than a figurehead, Mary asserts her claim to the English throne, threatening Elizabeth’s sovereignty. Betrayal, rebellion, and conspiracies within each court imperil both thrones – and change the course of history.","2019-01-23","The Villages, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","Vice (2018)","R","3.5","9:40a | 12:35p | 3:30p | 6:30p | 9:25p","Standard","Gov. George W. Bush of Texas picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive résumé includes stints as White House chief of staff, House Minority Whip and defense secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.","2019-01-23","The Villages, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","Glass (2019)","PG-13","4","3:50p | 7:00p | 9:55p","Standard","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.","2019-01-23","Gainesville, FL"
"2830 Hwy 90 West, Lake City, FL 32055","UA Cinema 90 6","The Upside","PG-13","4.5","3:45p | 7:10p","Standard","Phillip is a wealthy quadriplegic who needs a caretaker to help him with his day-to-day routine in his New York penthouse. He decides to hire Dell, a struggling parolee who's trying to reconnect with his ex and his young son. Despite coming from two different worlds, an unlikely friendship starts to blossom as Dell and Phillip rediscover the joy of living life to the fullest.","2019-01-23","Lake City, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","Glass (2019)","PG-13","4","9:30a | 12:00p | 2:30p | 5:00p | 7:30p | 9:30p | 10:15p","Standard","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.","2019-01-23","The Villages, FL"
